id,diff_act,as_score,n_watchers,avg_activity_in_days,avg_age_in_days,binned_ip_reported
1212992,1.0,0.22697267285189807,0.0,0.105,0.10344827586206896,1
1212995,1.0,0.22697267285189807,0.004,0.0525,0.05172413793103449,1
1213015,1.0,0.023330258803103465,0.0,0.105,0.10344827586206896,1
1213323,0.9435850773430391,0.00018085471940390284,0.036000000000000004,0.5160000000000001,0.5389162561576355,1
1213349,1.0,0.22697267285189807,0.0,0.105,0.10344827586206896,1
1213482,0.817258883248731,0.26024994122221623,0.0,0.8025000000000001,0.9679802955665024,1
1213518,0.9618138424821002,1.8897509630513807,0.004,0.5012500000000001,0.5135467980295566,1
1213520,0.975,0.011574702041849782,0.0,0.5825,0.5886699507389163,1
1213792,0.9840848806366048,0.07505470855261967,0.004,0.46125,0.4618226600985222,1
1213793,0.975,0.3098041343388856,0.0,0.5825,0.5886699507389163,1
1213898,0.9615384615384616,1.157470204184978,0.0,0.06,0.061576354679802964,1
1213910,0.986784140969163,0.1658437776933789,0.004,0.2775,0.2770935960591133,1
1213949,0.975,0.08011864069592896,0.0,0.5825,0.5886699507389163,1
1213964,0.975,0.003074530229866348,0.0,0.5825,0.5886699507389163,1
1214021,0.9758064516129032,0.008500171811983434,0.0,0.6025,0.6083743842364532,1
1214041,0.9728997289972899,1.8897509630513807,0.012,0.44625,0.4519704433497537,1
1214169,0.937007874015748,1.157470204184978,0.004,0.295,0.3103448275862069,1
1214171,0.975,0.024596241838930787,0.0,0.5825,0.5886699507389163,1
1214174,0.8812095032397408,0.7248657153708425,0.008,0.3375,0.3776683087027915,1
1214304,0.9611650485436893,0.22697267285189807,0.004,0.12125,0.12438423645320199,1
1214305,0.975,0.16114155498887742,0.0,0.5825,0.5886699507389163,1
1214355,0.9840848806366048,0.02875590038522055,0.004,0.46125,0.4618226600985222,1
1214373,0.7216494845360825,0.09766154847810753,0.0,0.17250000000000001,0.23645320197044337,1
1214583,0.9459459459459459,0.5465429620385944,0.0,0.9600000000000001,1.0,1
1214586,0.9605263157894737,0.029479319262836163,0.0,0.545,0.5591133004926108,1
1214588,0.975,0.0575118007704411,0.0,0.5825,0.5886699507389163,1
1214736,1.0,0.17054600039788037,0.004,0.25625,0.2524630541871921,1
1214739,1.0,0.0050639321433092795,0.0,0.3875,0.38177339901477836,1
1214747,1.0,0.010489573725426365,0.0,0.105,0.10344827586206896,1
1214805,0.975,0.3098041343388856,0.0,0.5825,0.5886699507389163,1
1214914,0.975,0.02875590038522055,0.0,0.5825,0.5886699507389163,1
1214918,1.0,0.22932378420414878,0.0,0.105,0.10344827586206896,1
1214932,0.975,0.0575118007704411,0.0,0.5825,0.5886699507389163,1
1214954,1.0,3.4031432550232394,0.0,0.105,0.10344827586206896,0
1215036,1.0,3.4031432550232394,0.0,0.105,0.10344827586206896,0
1215043,1.0,3.4031432550232394,0.0,0.105,0.10344827586206896,0
1215051,0.9764309764309764,1.8897509630513807,0.008,0.4808333333333334,0.4852216748768473,1
1215099,0.9738219895287958,0.7248657153708425,0.016,0.36950000000000005,0.37389162561576356,1
1215143,0.9402584968884633,0.3114318268135207,0.384,0.25061855670103095,0.26275963638210353,1
1215146,0.9696132596685082,1.8897509630513807,0.008,0.29,0.29474548440065684,1
1215192,0.975,0.0,0.0,0.5825,0.5886699507389163,1
1215225,0.9513274336283187,1.8897509630513807,0.008,0.17666666666666667,0.18308702791461412,1
1215266,1.0,3.585987376340585,0.0,0.35,0.3448275862068966,0
1215380,1.0,0.16114155498887742,0.0,0.105,0.10344827586206896,1
1215425,0.9895652173913043,1.8897509630513807,0.012,0.353125,0.3516009852216749,1
1215458,1.0,0.16168411914708913,0.0,0.25,0.24630541871921183,1
1215471,0.957968476357268,1.8897509630513807,0.004,0.68125,0.7007389162561576,1
1215499,0.975,0.06402257066898161,0.0,0.5825,0.5886699507389163,1
1215531,0.975,0.00018085471940390284,0.0,0.5825,0.5886699507389163,1
1215547,0.9848866498740554,0.0036170943880780566,0.0,0.9750000000000001,0.9753694581280787,1
1215566,1.0,0.036170943880780564,0.0,0.105,0.10344827586206896,1
1215671,0.7365591397849462,0.2913569529596875,0.0,0.34,0.45566502463054187,1
1215702,1.0,3.4031432550232394,0.0,0.105,0.10344827586206896,0
